date,country,values
1995-03-31 00:00:00,HU,72.6
1995-03-31 00:00:00,SK,60.6
1995-03-31 00:00:00,PL,60.8
1995-06-30 00:00:00,HU,72.9
1995-06-30 00:00:00,SK,62.9
1995-06-30 00:00:00,PL,61.7
1995-09-30 00:00:00,HU,73.1
1995-09-30 00:00:00,SK,63.9
1995-09-30 00:00:00,PL,63.6
1995-12-31 00:00:00,HU,72.4
1995-12-31 00:00:00,SK,64.8
1995-12-31 00:00:00,PL,64.4
1996-03-31 00:00:00,V3,67.52085173601876
1996-03-31 00:00:00,HU,74.5
1996-03-31 00:00:00,CZ,72.3
1996-03-31 00:00:00,SK,65.2
1996-03-31 00:00:00,PL,65.6
1996-06-30 00:00:00,V3,68.82444007244575
1996-06-30 00:00:00,HU,72.9
1996-06-30 00:00:00,CZ,74.3
1996-06-30 00:00:00,SK,66.5
1996-06-30 00:00:00,PL,66.6
1996-09-30 00:00:00,V3,68.71020758958086
1996-09-30 00:00:00,HU,72.3
1996-09-30 00:00:00,CZ,73.4
1996-09-30 00:00:00,SK,67.5
1996-09-30 00:00:00,PL,66.7
1996-12-31 00:00:00,V3,67.87904886564455
1996-12-31 00:00:00,HU,72.3
1996-12-31 00:00:00,CZ,74.4
1996-12-31 00:00:00,SK,69.8
1996-12-31 00:00:00,PL,64.4
1997-03-31 00:00:00,V3,70.35408711885502
1997-03-31 00:00:00,HU,73.4
1997-03-31 00:00:00,CZ,74.3
1997-03-31 00:00:00,SK,71.4
1997-03-31 00:00:00,PL,68.4
1997-06-30 00:00:00,V3,70.69890896632063
1997-06-30 00:00:00,HU,73.8
1997-06-30 00:00:00,CZ,74.1
1997-06-30 00:00:00,SK,70.6
1997-06-30 00:00:00,PL,69.2
1997-09-30 00:00:00,V3,70.09541920708875
1997-09-30 00:00:00,HU,74.7
1997-09-30 00:00:00,CZ,71.8
1997-09-30 00:00:00,SK,68.5
1997-09-30 00:00:00,PL,69.6
1997-12-31 00:00:00,V3,71.2510014412133
1997-12-31 00:00:00,HU,75.1
