date,country,values
1995-03-31 00:00:00,HU,72.6
1995-03-31 00:00:00,SK,60.6
1995-03-31 00:00:00,PL,60.8
1995-06-30 00:00:00,HU,72.9
1995-06-30 00:00:00,SK,62.9
1995-06-30 00:00:00,PL,61.7
1995-09-30 00:00:00,HU,73.1
1995-09-30 00:00:00,SK,63.9
1995-09-30 00:00:00,PL,63.5
1995-12-31 00:00:00,HU,72.4
1995-12-31 00:00:00,SK,64.8
1995-12-31 00:00:00,PL,64.4
1996-03-31 00:00:00,V3,67.52071849312692
1996-03-31 00:00:00,HU,74.5
1996-03-31 00:00:00,CZ,72.3
1996-03-31 00:00:00,SK,65.2
1996-03-31 00:00:00,PL,65.6
1996-06-30 00:00:00,V3,68.82496472764628
1996-06-30 00:00:00,HU,72.9
1996-06-30 00:00:00,CZ,74.3
1996-06-30 00:00:00,SK,66.5
1996-06-30 00:00:00,PL,66.6
1996-09-30 00:00:00,V3,68.71002663906181
1996-09-30 00:00:00,HU,72.3
1996-09-30 00:00:00,CZ,73.4
1996-09-30 00:00:00,SK,67.5
1996-09-30 00:00:00,PL,66.7
1996-12-31 00:00:00,V3,67.87944251170505
1996-12-31 00:00:00,HU,72.3
1996-12-31 00:00:00,CZ,74.4
1996-12-31 00:00:00,SK,69.8
1996-12-31 00:00:00,PL,64.4
1997-03-31 00:00:00,V3,70.35403288590325
1997-03-31 00:00:00,HU,73.4
1997-03-31 00:00:00,CZ,74.3
1997-03-31 00:00:00,SK,71.4
1997-03-31 00:00:00,PL,68.4
1997-06-30 00:00:00,V3,70.69908578540218
1997-06-30 00:00:00,HU,73.8
1997-06-30 00:00:00,CZ,74.1
1997-06-30 00:00:00,SK,70.6
1997-06-30 00:00:00,PL,69.2
1997-09-30 00:00:00,V3,70.09534891635808
1997-09-30 00:00:00,HU,74.7
1997-09-30 00:00:00,CZ,71.8
1997-09-30 00:00:00,SK,68.5
1997-09-30 00:00:00,PL,69.6
1997-12-31 00:00:00,V3,71.2510578197571
1997-12-31 00:00:00,HU,75.1
