date,country,values
1995-12-31 00:00:00,EU15,-7.2
1995-12-31 00:00:00,V3,-6.553954444987209
1995-12-31 00:00:00,HU,-8.8
1995-12-31 00:00:00,CZ,-12.8
1995-12-31 00:00:00,SK,-3.4
1995-12-31 00:00:00,PL,-4.4
1996-12-31 00:00:00,EU15,-4.2
1996-12-31 00:00:00,V3,-4.854196927432798
1996-12-31 00:00:00,HU,-4.4
1996-12-31 00:00:00,CZ,-3.1
1996-12-31 00:00:00,SK,-9.9
1996-12-31 00:00:00,PL,-4.9
1997-12-31 00:00:00,EU15,-2.6
1997-12-31 00:00:00,V3,-4.50280877797944
1997-12-31 00:00:00,HU,-5.6
1997-12-31 00:00:00,CZ,-3.6
1997-12-31 00:00:00,SK,-6.3
1997-12-31 00:00:00,PL,-4.6
1998-12-31 00:00:00,EU15,-1.8
1998-12-31 00:00:00,V3,-4.51083888307343
1998-12-31 00:00:00,HU,-7.6
1998-12-31 00:00:00,CZ,-4.8
1998-12-31 00:00:00,SK,-5.3
1998-12-31 00:00:00,PL,-4.3
1999-12-31 00:00:00,EU15,-0.9
1999-12-31 00:00:00,V3,-3.039610492761153
1999-12-31 00:00:00,HU,-5.2
1999-12-31 00:00:00,CZ,-3.6
1999-12-31 00:00:00,SK,-7.4
1999-12-31 00:00:00,PL,-2.3
2000-12-31 00:00:00,EU15,0.7
2000-12-31 00:00:00,V3,-3.894798369206522
2000-12-31 00:00:00,HU,-3.1
2000-12-31 00:00:00,CZ,-3.6
2000-12-31 00:00:00,SK,-12.3
2000-12-31 00:00:00,PL,-3.0
2001-12-31 00:00:00,EU15,-1.4
2001-12-31 00:00:00,V3,-5.461840968076824
2001-12-31 00:00:00,HU,-4.1
2001-12-31 00:00:00,CZ,-5.6
2001-12-31 00:00:00,SK,-6.5
2001-12-31 00:00:00,PL,-5.3
2002-12-31 00:00:00,EU15,-2.5
2002-12-31 00:00:00,V3,-5.652248869998376
2002-12-31 00:00:00,HU,-9.0
2002-12-31 00:00:00,CZ,-6.5
2002-12-31 00:00:00,SK,-8.2
2002-12-31 00:00:00,PL,-5.0
2003-12-31 00:00:00,EU15,-3.1
2003-12-31 00:00:00,V3,-6.009767957993671
2003-12-31 00:00:00,HU,-7.3
2003-12-31 00:00:00,CZ,-6.7
2003-12-31 00:00:00,SK,-2.8
2003-12-31 00:00:00,PL,-6.2
2004-12-31 00:00:00,EU15,-2.8
2004-12-31 00:00:00,V3,-4.369859813860151
2004-12-31 00:00:00,HU,-6.5
2004-12-31 00:00:00,CZ,-2.8
2004-12-31 00:00:00,SK,-2.4
2004-12-31 00:00:00,PL,-5.4
2005-12-31 00:00:00,EU15,-2.4
2005-12-31 00:00:00,V3,-3.728171382290864
2005-12-31 00:00:00,HU,-7.9
2005-12-31 00:00:00,CZ,-3.2
2005-12-31 00:00:00,SK,-2.8
2005-12-31 00:00:00,PL,-4.1
2006-12-31 00:00:00,EU15,-1.4
2006-12-31 00:00:00,V3,-3.2326234579037814
2006-12-31 00:00:00,HU,-9.5
2006-12-31 00:00:00,CZ,-2.4
2006-12-31 00:00:00,SK,-3.2
2006-12-31 00:00:00,PL,-3.6
2007-12-31 00:00:00,EU15,-0.8
2007-12-31 00:00:00,V3,-1.5711619716191143
2007-12-31 00:00:00,HU,-5.1
2007-12-31 00:00:00,CZ,-0.7
2007-12-31 00:00:00,SK,-1.8
2007-12-31 00:00:00,PL,-1.9
2008-12-31 00:00:00,EU15,-2.4
2008-12-31 00:00:00,V3,-3.124817519000564
2008-12-31 00:00:00,HU,-3.7
2008-12-31 00:00:00,CZ,-2.2
2008-12-31 00:00:00,SK,-2.1
2008-12-31 00:00:00,PL,-3.7
2009-12-31 00:00:00,EU15,-6.8
2009-12-31 00:00:00,V3,-7.092254922593174
2009-12-31 00:00:00,HU,-4.6
2009-12-31 00:00:00,CZ,-5.8
2009-12-31 00:00:00,SK,-8.0
2009-12-31 00:00:00,PL,-7.5
2010-12-31 00:00:00,EU15,-6.5
2010-12-31 00:00:00,V3,-6.95032284691322
2010-12-31 00:00:00,HU,-4.4
2010-12-31 00:00:00,CZ,-4.7
2010-12-31 00:00:00,SK,-7.5
2010-12-31 00:00:00,PL,-7.8
2011-12-31 00:00:00,EU15,-4.5
2011-12-31 00:00:00,V3,-4.568677963822204
2011-12-31 00:00:00,HU,4.2
2011-12-31 00:00:00,CZ,-3.2
2011-12-31 00:00:00,SK,-4.8
2011-12-31 00:00:00,PL,-5.1
2012-12-31 00:00:00,EU15,-4.0
2012-12-31 00:00:00,V3,-4.046139110350608
2012-12-31 00:00:00,HU,-2.2
2012-12-31 00:00:00,CZ,-4.2
2012-12-31 00:00:00,SK,-4.5
2012-12-31 00:00:00,PL,-3.9
2013-12-31 00:00:00,EU15,-3.3
2013-12-31 00:00:00,V3,-3.43854715842266
2013-12-31 00:00:00,HU,-2.4
2013-12-31 00:00:00,CZ,-1.5
2013-12-31 00:00:00,SK,-2.8
2013-12-31 00:00:00,PL,-4.3
